Id,Text
0,"l1TflH85d;Va,CMS9ZPr;SFu7G7tcmm1vCE2AbflDxeCNan"
0,EJVfO6?irX;skRVdggP lW;jTeNlEFZS7DH8A5Ztg;TcWCV
0,"nBES.e01CY2o7oTVFDH79vu9,BztKb7UiIIiJJOT9pvrY9A"
0,YL5OjoO?nif?IG4cMxchqAFLtIfWzUZEkJFW9nkfTNWnJU2
0,"MXHg,3X0dOZE6Oyo5mgJdVyYAeqOBJ4?9is;N?eq,6m5IGK"
0,"hu20weaNxPY9SphN0Niw3JhCleABL.jgXhEFjlqpdq,n;B."
0,"Ba3kzwb0wimt0DH5zhnzTgC XB,Z0xqjd3m5VR EXf76lmd"
0,gXNIAP7NfcD5 dpEY1sDwFP1qVUc.Ndgd1a4Blt7tTdafaD
0,F Gm6x8XWiSsMVu7qTgjRKuZSVfm03cDhgg7jWWP txnFSS
0,"ow,FiT;,eFuZTL5ynIrD7PZ kem9aYJ5X6XHb7GQqmvidzW"
0,P4oUZ;482oGRgGdBWnq0rSxwy7kXc76JWTz1y DUd5Wmz 4
0,"8YG;ZnTigzG8ABXuYSYYudA NGaDA xa?ljx3ZaU,lzPFwZ"
0,.FvoGFIZ4kp5Qg iNMeiorO;grB65xfEo5tG?EAOvACK6ay
0,"7Tw.OSWZDbRXeu3kSw0HBKJlB4,HDPS6VF5y.F38QNXOlUU"
0,dGrO3HiZbEsv J?;DP yvf KBQWu.NjDircwMgwcU o5?f5
0,lY9Hp74NckBYBv7urYq aTl0J1LCF3kr2aWItLLk7hswx80
0,0LOcGY3DmpDzizmgmRTrXGHF.0PlZ75sdFd1eQ7U 95tVJc
0,";U,l8sP6KmI eazLOrOg.O39NYFzp0epzSosK4bjvpVhoss"
0,"8?fYoRLwXwYTMKuE?NyI33c0obzHie0F,U;x.aa3CGJjtm."
0,.zalwwFV?arhTeNk4dagZjpYAMEbJdhXUGRC80aHBpeCWUa
0,YirGxjC64iekarm5ill4FSoH24YqnoD7U5xDw4jlz7tha2n
0,"hpdqZgAtUO4DUy;8TeBKfz;p3C5rtD95YU4NmbGGYK,IOjy"
0,vN4PFoy6BqjUGuc5wa??pcFvNnc; nxvZnv9tXG5HY2lxDd
0,"N3KeAJ,R.fXl,V?w8G1jNq6x1,MmhMv5CucJ6M8L8Iw9OLY"
0,No0o83tZ6z;BI9EuRnwpoO?74Gs FAXqA??R0Wn54UYX15k
0,"?zSJKb,TQSpgm2f.U8mx44i3;Tdl7hKsMvLTieWLnNQO0A?"
0,"kvrMpGC3S;lZRVXUmgCOc4v68thP2B4D1cLwO,nhkvv Mdf"
0,"BqXqP16rfoGin?ldve;jCD,lOVIGzVrEGS0Btl414Xam?wC"
0,sRAiUK91sQHAE?ehyz?5zyKjp;F Q3hX0F769.PgLGQFEK5
0,"u9TzdkP;oU,TP8nWDiMMJNPcTrzYSQ LV.n1qhlH0yvY3cd"
0,"dcRq6tOd7p;H8tD0RY,2Ad8qe9 ;;7oA039a2?lsV5KH8bd"
0,IhSUYc3xhN1EC3nF w1E2M23oAJv7 bJt5fcEoaRcO.hUSd
0,"24DjW9xA V;h3t8qSpOg,9SFZCDiKAKD;ndtbKuRAY8ilyP"
0,fY4Dt5P18kl.oDitklnzX7aIHW0EMsriPAVjXuwWyKXVlXm
0,5zj5HWcEFFggxIacirzUGylu2DogBDe 8heRIgbC;rOQ8Ht
0,"f48fgCh2?10fQDZJPU,Q5A?GspSWN 2zlviWj2 1NgAJJwr"
0,"o9 3,Tk8JafhWccPA25fu9 8Mg.BAvUH89x;FH9klo4?s4S"
0,"xpvf4qiaBcsi7y1WETqmn.yEfPj0n;N2DT,yWaLQTfHGi1c"
0,"ytCQwEEi9Ns2VR0ZGZht?qGfTsy9BFV2A 1,Ra2iS0F,ZI?"
0,Fb2j?l8Jtv8hyqflMVDQp0s.b?FU8lEvWrU1nYer3kvBN1Z
0,"nkJ93q69FQ5T9R2y29xBA7zGsSZ,VEfD9ivQnlREwtje0,a"
0,gRKeyYtxwBHsIDILdJGko7oen?Wo KI6ag Vcjdbswes.hs
0,K10oGDXrBiojRS292diukiM5DeXg3ahrEUK?AepU2sCJNZw
0,Yr1Qv0hZXM5qrh36kGMd.oSAq;OMoimifH753BwLLUsOA1N
0,OfY1hA0yDPMaQy4m;NuoZcpPsejdzsgIGEpRQCu3eFEsGoP
0,Pj fuIB;7iXg.tLV5ILFPJ W.6O;bSeQsODvBIcxv?HLupH
